DEPTH,GR,PE,SP,CAL,AC,DEN,CNL,RXO,RT,QT,DEVI,AZIM,BIT,CASE,SH,CARB,POR,PERM,SXO,SW,SOG,LAYER,RESULT,LOG_ID_FROM_FILENAME,CGR,interpretation_status,vsh_Linear,vsh_Larionov_Optimized,vsh_Clavier,vsh_Neutron_Density,vsh_final,sh_frac,abs_diff,lithology_kb,porosity_model_kb,phie_final,TH,K,U,rock_type,k_final,permeability_model_used,sw_final,sxo_final,so_final,so_movable,vsan_auto,vlim_auto,vdol_auto,carb_auto,RESULT_AUTO
1862.1,34.885,1.947,77.277,21.347,241.509,2.324,15.2,59.079,111.219,,0.185,42.24,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0574080669575282,,0.0247886640463357,0.2987090367428006,0.2987090367428006,,,Shale,Sonic,0.1380484586607702,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8692837632055862,0.0,0.0,0.0,0.0,0.5632425045964292,0.5632425045964292,水层
1862.2,34.326,1.902,77.373,21.394,240.142,2.334,14.926,56.717,105.075,,0.214,32.149,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0532603211349538,,0.0229195342489776,0.2884012409513955,0.2884012409513955,,,Shale,Sonic,0.1330055294416716,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8426476901903116,0.0,0.0,0.0,0.0,0.5785932296069329,0.5785932296069329,水层
1862.3,34.838,1.883,77.468,21.408,238.698,2.349,14.477,57.037,103.374,,0.258,38.285,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0570593298311222,,0.0246310343343314,0.2739999999999991,0.2739999999999991,,,Shale,Sonic,0.1264995274559882,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8393468521556113,0.0,0.0,0.0,0.0,0.5995004725440127,0.5995004725440127,水层
1862.4,35.298,1.888,77.55,21.342,237.833,2.367,13.898,58.4,103.198,,0.281,51.618,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0604725017065859,,0.0261775559671428,0.2571640718562873,0.2571640718562873,,,Shale,Sonic,0.1200266838028313,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8445318484430314,0.0,0.0,0.0,0.0734455856685171,0.5493636586723643,0.6228092443408814,水层
1862.5,35.865,1.911,77.605,21.264,237.838,2.378,13.462,59.146,101.826,,0.283,66.816,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.064679607040038,,0.0280953679778583,0.2522225031605556,0.2522225031605556,,,Shale,Sonic,0.1185511026351062,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8491651049399596,0.0,0.0,0.0,0.1412602473374452,0.487966146866893,0.6292263942043382,水层
1862.6,35.924,1.945,77.622,21.224,238.871,2.38,13.331,58.429,98.073,,0.265,79.866,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0651173834327605,,0.0282956632319797,0.2556245210727972,0.2556245210727972,,,Shale,Sonic,0.1215836148181068,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8451731395596324,0.0,0.0,0.0,0.0658426967102157,0.5569491673988802,0.6227918641090959,水层
1862.7,34.08,1.972,77.589,21.255,240.967,2.373,13.596,56.212,92.286,,0.233,88.014,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0514350161754667,,0.0221008920482208,0.2597583230579521,0.2597583230579521,,,Shale,Sonic,0.1268487830066095,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8289861617279412,0.0,0.0,0.0,0.0,0.6133928939354384,0.6133928939354384,水层
1862.8,31.944,1.984,77.516,21.313,243.379,2.36,14.281,54.473,88.163,,0.198,88.123,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0355860267711394,,0.0150925256207543,0.2519745075318657,0.2519745075318657,,,Shale,Sonic,0.1292926771549986,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8130099673229444,0.0,0.0,0.0,0.1611285335134722,0.4576042817996635,0.6187328153131357,水层
1862.9,31.403,1.98,77.434,21.346,245.281,2.343,15.137,54.493,87.533,,0.173,78.367,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0315718398480396,,0.013345725069493,0.2459269602577871,0.2459269602577871,,,Shale,Sonic,0.1312625294094559,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8128344433810738,0.0,0.0,0.0,0.3055117278661923,0.3172987824665646,0.6228105103327569,水层
1863.0,32.953,1.964,77.352,21.34,246.358,2.332,15.717,55.163,88.548,,0.169,108.684,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0430727450805805,,0.0183808708514252,0.2406953846153848,0.2406953846153848,,,Shale,Sonic,0.1318522806992317,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8179110866154992,0.0,0.0,0.0,0.4232904490254701,0.2041618856599133,0.6274523346853835,水层
1863.1,36.543,1.944,77.273,21.297,246.475,2.33,15.964,55.369,89.348,,0.195,127.873,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.0697103255869171,,0.0304054340394845,0.2302909460834176,0.2302909460834176,,,Shale,Sonic,0.1289444838165619,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8163818562056594,0.0,0.0,0.0,0.6186170810197951,0.0221474890802253,0.6407645701000204,水层
1863.2,41.583,1.938,77.202,21.233,245.664,2.336,15.911,53.988,88.066,,0.252,344.225,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1071068174398243,,0.0481590314917848,0.2146757038581858,0.2146757038581858,,,Shale,Sonic,0.122319171242182,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.7987230182321208,0.0,0.0,0.1661577038429084,0.4968474210567237,0.0,0.4968474210567237,水层
1863.3,44.614,1.943,77.146,21.172,244.834,2.347,15.681,52.172,86.287,,0.311,106.497,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1295966521235864,,0.0593387324662848,0.193501639344262,0.193501639344262,,,Shale,Sonic,0.113315971451074,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.7757637009999434,0.0,0.0,0.4240440607171123,0.2691383284875517,0.0,0.2691383284875517,水层
1863.4,48.261,1.954,77.11,21.132,244.754,2.36,15.695,52.052,87.289,,0.338,109.565,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1566571691449262,,0.0733044247454899,0.1438354577056779,0.1438354577056779,,,Shale,Sonic,0.0938347726182218,,,,RT2_Medium_Quality_Sand,0.001,Param_Error_PowerLaw,0.3220709797488376,0.4292260708285873,0.6779290202511624,0.0086086262590106,0.7623297696761002,0.0,0.0,0.0,待会诊
1863.5,52.51,1.966,77.096,21.112,245.66,2.366,16.022,53.298,90.5,,0.333,91.594,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1881844893598076,,0.0903017944780277,0.0936209773539922,0.0936209773539922,,,Shale,Sonic,0.073352046455382,,,,RT4_Tight_Sand,0.001,Param_Error_MultiLinear_V2,1.0,1.0,0.0,0.0,0.8330269761906258,0.0,0.0,0.0,待会诊
1863.6,56.64,1.975,77.101,21.119,247.566,2.364,16.605,55.212,94.673,,0.305,95.131,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.2188288368503843,,0.1075950362510893,0.0567532467532469,0.0567532467532469,,,Shale,Sonic,0.0595348749663552,,,,RT4_Tight_Sand,0.001,Param_Error_MultiLinear_V2,1.0,1.0,0.0,0.0,0.8837118782803979,0.0,0.0,0.0,待会诊
1863.7,59.211,1.975,77.12,21.165,250.275,2.355,17.356,56.736,97.889,,0.263,107.215,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.2379054996586828,,0.1187557830271768,0.0390758776896937,0.0390758776896937,,,Shale,Sonic,0.0569456935871355,,,,RT4_Tight_Sand,0.001,Param_Error_MultiLinear_V2,0.9832586653441268,1.0,0.0167413346558732,0.0009160940461632,0.9039784287231708,0.0,0.0,0.0,待会诊
1863.8,58.564,1.976,77.147,21.238,252.61,2.342,18.152,58.221,100.654,,0.235,106.301,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.2331047992164544,,0.1159181101725768,0.036329411764705,0.036329411764705,,,Shale,Sonic,0.0613450627397473,,,,RT4_Tight_Sand,0.001,Param_Error_MultiLinear_V2,0.9749122981097208,1.0,0.025087701890279,0.0014830954402875,0.9023255254955476,0.0,0.0,0.0,待会诊
