DEPTH,GR,PE,SP,CAL,AC,DEN,CNL,RXO,RT,QT,DEVI,AZIM,BIT,CASE,SH,CARB,POR,PERM,SXO,SW,SOG,LAYER,RESULT,WELL_NAME,cluster_label
2090.7,60.93,2.524,46.512,21.116,213.641,2.535,16.061,19.715,19.049,0.092,0.219,76.434,21.59,,12.2,0.0,9.326,0.519,98.908,94.667,5.333,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
2090.8,61.738,2.493,45.731,21.146,214.828,2.527,15.725,20.15,19.119,0.096,0.219,73.107,21.59,,12.969,0.0,9.62,0.594,98.384,92.185,7.815,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
2090.9,61.437,2.476,45.005,21.158,215.729,2.522,15.737,20.926,19.442,0.099,0.215,71.128,21.59,,13.282,0.0,9.828,0.652,97.883,89.857,10.143,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
2091.0,61.687,2.473,44.365,21.16,216.355,2.52,15.84,21.627,19.65,0.103,0.212,76.298,21.59,,12.804,0.0,9.922,0.68,97.491,88.067,11.933,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
2091.1,62.542,2.484,43.84,21.151,216.765,2.519,15.932,22.028,19.563,0.099,0.217,93.721,21.59,,13.642,0.0,9.904,0.674,97.522,88.208,11.792,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
2091.2,62.467,2.515,43.463,21.118,217.061,2.52,15.992,22.091,19.186,0.094,0.236,127.834,21.59,,13.811,0.0,9.859,0.661,97.752,89.258,10.742,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
2091.3,63.843,2.549,43.246,21.049,217.436,2.521,16.081,22.382,19.069,0.09,0.276,118.124,21.59,,14.289,0.0,9.838,0.655,97.917,90.01,9.99,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
2091.4,66.143,2.581,43.105,20.997,217.886,2.521,16.525,22.846,19.148,0.085,0.296,91.938,21.59,,15.546,0.0,9.893,0.671,97.836,89.643,10.357,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
2091.5,66.207,2.605,43.001,20.975,218.355,2.517,17.041,23.291,19.267,0.08,0.296,67.048,21.59,,17.537,0.0,10.07,0.725,97.416,87.73,12.27,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
2091.6,63.129,2.619,42.895,20.98,218.796,2.511,17.383,23.502,19.253,0.076,0.274,54.0,21.59,,15.647,0.0,10.352,0.82,96.834,85.148,14.852,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
2091.7,58.226,2.615,42.75,20.992,219.164,2.505,17.397,23.236,18.916,0.071,0.234,56.265,21.59,,12.552,0.0,10.624,0.92,96.448,83.463,16.537,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
2091.8,53.93,2.6,42.579,20.974,219.569,2.499,17.024,21.947,17.854,0.067,0.214,61.915,21.59,,9.402,0.0,10.759,0.97,96.57,83.995,16.005,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,4.0
2091.9,52.744,2.576,42.455,20.966,220.148,2.496,16.545,20.184,16.483,0.062,0.222,65.991,21.59,,7.276,0.0,10.751,0.967,97.222,86.88,13.12,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,4.0
2092.0,52.709,2.548,42.424,20.972,220.922,2.5,16.183,18.526,15.258,0.058,0.26,67.973,21.59,,7.184,0.0,10.718,0.954,98.144,91.059,8.941,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,4.0
2092.1,53.123,2.519,42.528,20.987,221.825,2.508,15.846,17.387,14.513,0.059,0.321,69.358,21.59,,7.231,0.0,10.32,0.81,99.537,97.754,2.246,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,4.0
2092.2,54.554,2.5,42.805,21.004,222.702,2.519,15.436,17.026,14.467,0.061,0.39,73.624,21.59,,7.923,0.0,9.808,0.652,99.894,99.711,0.289,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,4.0
2092.3,54.313,2.492,43.273,21.02,223.082,2.531,14.843,18.074,15.736,0.063,0.406,87.49,21.59,,8.299,0.0,9.237,0.502,99.9,99.9,0.1,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,4.0
2092.4,53.345,2.496,43.878,21.035,222.861,2.545,14.015,21.13,19.014,0.064,0.369,96.872,21.59,,7.992,0.0,8.661,0.376,99.9,99.9,0.1,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
2092.5,52.072,2.511,44.626,21.055,222.037,2.557,13.255,26.68,25.049,0.066,0.33,103.131,21.59,,7.228,0.0,8.137,0.284,99.9,99.9,0.1,chang4+5,水层,0473ffd021f94d17a9091d6a3b5ac567,1.0
